20000.5,7.624648,7.22626426,7.22275103,7.91500964,8.19437805,8.14046343,8.19056247,8.19302136,8.22644977
20001,7.62703866,7.23051797,7.22374445,7.93158411,8.18746392,8.14022741,8.19683648,8.19751605,8.2401088
20001.5,7.629496,7.23529973,7.22637137,7.9486171,8.18095588,8.14071943,8.20329305,8.20183951,8.25362408
20002,7.63160146,7.2403064,7.23011218,7.96610886,8.17513269,8.14162973,8.20990523,8.20620262,8.26712784
20002.5,7.6330885,7.24535728,7.23466276,7.98395764,8.17014232,8.1428065,8.21647366,8.21074556,8.28058679
20003,7.63377932,7.25034545,7.23977369,8.00193263,8.16609891,8.14413957,8.22278238,8.21556893,8.29383133
20003.5,7.63345341,7.2551942,7.24518805,8.01989114,8.16299286,8.14557293,8.22866809,8.22070101,8.30669964
20004,7.63205111,7.2598497,7.25059819,8.03756527,8.16086157,8.14713478,8.23392819,8.2261457,8.31896398
20004.5,7.62961126,7.26431643,7.25580251,8.05483517,8.15972643,8.1488467,8.23841438,8.23186403,8.33046219
20005,7.62618688,7.26864733,7.26053771,8.07139056,8.1594939,8.15078599,8.24209158,8.23783768,8.34097425
20005.5,7.62201407,7.27288623,7.26463483,8.08701245,8.16012212,8.1530369,8.24505744,8.24404071,8.35036999
20006,7.61742134,7.27706218,7.26797947,8.10148698,8.16155106,8.15571167,8.24735691,8.25045593,8.35851105
20006.5,7.61277854,7.28123081,7.27051129,8.11468585,8.1636474,8.15891219,8.24910489,8.25707839,8.36527732
20007,7.6084673,7.28538485,7.27231695,8.12640804,8.16633461,8.16274608,8.25039572,8.26391713,8.37060575
20007.5,7.6048576,7.28948883,7.27345861,8.13654372,8.16950076,8.16727861,8.25134119,8.27105727,8.3744649
20008,7.60229143,7.29346657,7.27413443,8.14509886,8.17301067,8.1726312,8.25200513,8.27841889,8.37683328
20008.5,7.60093822,7.29733813,7.27455548,8.15208412,8.17668363,8.17884012,8.25250954,8.28597617,8.37777788
20009,7.60090012,7.30105681,7.27498516,8.15764679,8.18031314,8.18593535,8.25290517,8.2936341,8.37733847
20009.5,7.60214255,7.30461698,7.27560529,8.16196188,8.18366222,8.19389246,8.25317523,8.30129022,8.37559212
20010,7.60441448,7.30810783,7.27665701,8.16525477,8.18655521,8.20270434,8.25329839,8.3088038,8.3727412
20010.5,7.60742962,7.31157624,7.27839579,8.16793105,8.18881971,8.21227294,8.25319816,8.31600423,8.36886753
20011,7.61087352,7.31503231,7.28097427,8.1703061,8.19032983,8.22238923,8.25273702,8.32277521,8.36424064
20011.5,7.61436639,7.31848387,7.28453993,8.1727038,8.19105561,8.23279323,8.25175945,8.3289598,8.35907474
20012,7.6174978,7.32197279,7.28922905,8.1754518,8.19102105,8.24328256,8.25012274,8.33450996,8.3535952
20012.5,7.61990725,7.32542834,7.29508953,8.17881369,8.19034459,8.25355158,8.2477136,8.33947332,8.34794989
20013,7.62130642,7.32878876,7.30208216,8.18287723,8.18925835,8.26329491,8.24451872,8.34387314,8.34235487
20013.5,7.62150244,7.33197314,7.31008852,8.18769706,8.18800183,8.27233024,8.240603,8.34783761,8.33698323
20014,7.62039005,7.33482052,7.31895016,8.19313822,8.18681805,8.28046671,8.23612993,8.35157707,8.33198941
20014.5,7.61793896,7.33728632,7.32845209,8.19900799,8.18592761,8.28756903,8.23130526,8.35530612,8.32748138
20015,7.61419707,7.33917198,7.33825833,8.20496355,8.18560001,8.29353851,8.2264006,8.35924806,8.32357268
20015.5,7.60921278,7.34037776,7.34809939,8.21055517,8.18606783,8.29844386,8.22168667,8.36362838,8.32036775
20016,7.60312934,7.34083418,7.35763823,8.21539366,8.18746091,8.30237864,8.21754571,8.3686437,8.31789741
20016.5,7.59617617,7.34047018,7.36658257,8.21904768,8.18989303,8.30559232,8.21422885,8.37444891,8.31618785
20017,7.58854164,7.33929219,7.3745698,8.22115941,8.19346646,8.30818016,8.21202266,8.38111314,8.31514084
20017.5,7.58056847,7.33736023,7.38134313,8.22133044,8.19823135,8.31029644,8.21105896,8.38860624,8.31466295
20018,7.5724295,7.33468362,7.3866724,8.21937026,8.20415952,8.31213937,8.21141682,8.39678317,8.31455988
20018.5,7.56439064,7.33141349,7.39032758,8.21515766,8.21125318,8.31383083,8.21316798,8.40543801,8.31466529
20019,7.55665014,7.32769525,7.39224231,8.20876786,8.21936319,8.3154031,8.21628106,8.41435391,8.31476044
20019.5,7.54936857,7.32366658,7.39242273,8.20048018,8.22835458,8.31687546,8.22074081,8.42311741,8.31474795
20020,7.54262633,7.31943271,7.39086995,8.1906632,8.23803309,8.31814963,8.22645909,8.43139543,8.31449547
20020.5,7.53648642,7.31518814,7.3876875,8.17992828,8.2481676,8.31917396,8.23337095,8.43885105,8.31401539
20021,7.53096478,7.31103772,7.38304395,8.16888603,8.25853589,8.31990389,8.2412839,8.445248,8.31325557
20021.5,7.52603135,7.30707972,7.37714469,8.15817302,8.26886326,8.32035147,8.25002312,8.45030863,8.3121695
20022,7.52162152,7.30350195,7.37026304,8.1484777,8.27888559,8.32049828,8.25937459,8.45402204,8.31082057
20022.5,7.51763735,7.30047088,7.3627304,8.14026597,8.28831478,8.32029407,8.26903902,8.45647421,8.30927904
20023,7.51394304,7.29811569,7.35483388,8.13398508,8.29691457,8.31976743,8.27871524,8.45797597,8.30762263
20023.5,7.5104202,7.29658678,7.34680166,8.1299498,8.30450856,8.31890352,8.28796389,8.45883175,8.30592539
20024,7.50705127,7.29600528,7.33885458,8.12824968,8.31091999,8.31770698,8.29645233,8.45942949,8.30425989
